file_scenario,file_period,geo_name,ensmean,ensmax,ensmin
historical,1995,2453,0.85,1.24,0.56
historical,1995,2454,2.85,3.64,2.23
historical,1995,2455,4.99,6.2,4.02
historical,1995,2460,6.79,8.46,5.27
historical,1995,2462,5.76,7.17,4.61
historical,1995,2463,7.11,8.81,5.67
historical,1995,2464,4.38,5.37,3.53
historical,1995,2465,5.68,7.01,4.46
historical,1995,2466,7,8.8,5.87
historical,1995,2469,8.39,10.07,6.92
historical,1995,2470,10.15,12.12,8.62
historical,1995,2471,10.81,13.23,9
historical,1995,2472,9.76,12.02,8.02
historical,1995,2473,7.78,9.45,6.45
historical,1995,2474,3.9,4.53,3.27
historical,1995,2475,3.64,4.17,3.01
historical,1995,2476,2.85,3.3,2.34
historical,1995,2477,4.31,5.31,3.42
historical,1995,2480,4.87,6.02,3.91
historical,1995,2482,1.96,2.46,1.46
historical,1995,2484,1.8,2.27,1.37
historical,1995,2500,2.43,3.1,1.98
historical,1995,2502,2.78,3.6,2.15
historical,1995,2505,2.78,3.6,2.15
historical,1995,2506,2.78,3.6,2.15
historical,1995,2508,3.51,3.99,2.85
historical,1995,2515,2.83,3.25,2.23
historical,1995,2516,2.76,3.3,2
historical,1995,2517,2.76,3.3,2
historical,1995,2518,2.08,2.6,1.8
historical,1995,2519,2.08,2.6,1.8
historical,1995,2525,2.43,3.1,1.98
historical,1995,2526,2.7,3.2,2.26
historical,1995,2527,2,2.6,1.46
historical,1995,2528,2.78,3.6,2.15
historical,1995,2529,2.52,3.35,1.7
historical,1995,2530,2.54,3.18,2.02
historical,1995,2533,2.34,3.12,1.71
historical,1995,2534,2.3,3.15,1.65
historical,1995,2535,2.45,3.09,1.88
historical,1995,2536,1.18,1.59,0.65
historical,1995,2537,0.84,1.24,0.36
historical,1995,2538,1.71,2.19,1.16
historical,1995,2539,1.62,2.09,1.07
historical,1995,2540,2.94,3.45,2.33
historical,1995,2541,3.31,3.82,2.67
historical,1995,2545,0.72,1.09,0.3
historical,1995,2546,0.83,1.21,0.38
historical,1995,2548,1.79,2.27,1.32
historical,1995,2549,1.13,1.49,0.71
historical,1995,2550,1.03,1.5,0.57
historical,1995,2551,0.52,0.85,0.25
historical,1995,2555,9.96,11.9,8.44
historical,1995,2556,10.08,12,8.52
historical,1995,2557,9.37,11.32,8
historical,1995,2558,8.27,10.15,7.1
historical,1995,2559,8.27,10.15,7.1
historical,1995,2560,5.17,6,4.42
historical,1995,2563,8.56,10.12,7.42
historical,1995,2564,7.17,8.75,6.1
historical,1995,2565,7.98,9.66,6.75
historical,1995,2566,8.09,9.8,6.85
historical,1995,2567,8.49,10.12,7.34
historical,1995,2568,7.72,8.75,6.75
historical,1995,2569,7.72,8.75,6.75
historical,1995,2570,8.9,10.46,7.62
historical,1995,2571,6.04,6.86,5.27
historical,1995,2572,6.76,7.75,5.9
historical,1995,2573,7.88,8.95,7.05
historical,1995,2574,3.69,4.21,3.15
historical,1995,2575,4.07,4.67,3.42
historical,1995,2576,1.61,2.02,1.23
historical,1995,2577,2.89,3.44,2.33
historical,1995,2578,3.19,3.71,2.58
historical,1995,2579,3.87,4.5,3.18
historical,1995,2580,3.46,4.23,2.69
historical,1995,2581,6.07,6.97,4.96
historical,1995,2582,8.17,9.23,6.96
historical,1995,2583,6.32,7.31,5.27
historical,1995,2584,9.7,10.91,8.32
historical,1995,2585,12.55,13.88,11.07
historical,1995,2586,11.42,12.7,9.95
historical,1995,2587,16.88,18.47,15.12
historical,1995,2588,17.98,19.53,16.12
historical,1995,2590,20.85,22.23,18.83
