file_grid,file_scenario,file_period,geo_name,cent_lat,cent_long,ensmean,ensmax,ensmin
AUS-44,rcp45,2050,5331,-34.2207024,140.3178476,48.68,52.18,45.12
AUS-44,rcp45,2050,5332,-34.3472809,140.2967179,46.38,49.7,43
AUS-44,rcp45,2050,5333,-34.5029643,140.5038394,44.06,47.45,40.76
AUS-44,rcp45,2050,5340,-34.1775587,140.8582969,47.36,51.1,43.88
AUS-44,rcp45,2050,5341,-34.0551655,140.7962054,47.36,51.1,43.88
AUS-44,rcp45,2050,5342,-34.1916284,140.5711104,47.36,51.1,43.88
AUS-44,rcp45,2050,5343,-34.3444604,140.5740126,44.35,47.55,40.8
AUS-44,rcp45,2050,5344,-34.2821125,140.5492871,44.35,47.55,40.8
AUS-44,rcp45,2050,5345,-34.2875242,140.4510447,48.02,51.64,44.5
AUS-44,rcp45,2050,5346,-34.2354105,140.4113921,46.38,49.7,43
AUS-44,rcp45,2050,5350,-34.5739929,138.8380842,29.88,32.99,26.78
AUS-44,rcp45,2050,5351,-34.6630896,138.9292977,25.76,28.55,22.8
AUS-44,rcp45,2050,5352,-34.5440912,138.9427292,24.18,26.8,21.2
AUS-44,rcp45,2050,5353,-34.5978048,139.3023319,33.4,36.49,30.24
AUS-44,rcp45,2050,5354,-34.5736759,139.6905402,43.58,47.14,40.3
AUS-44,rcp45,2050,5355,-34.4524315,138.978449,29.2,32.05,26.25
AUS-44,rcp45,2050,5356,-34.3839262,139.2589599,38.27,41.32,35.05
AUS-44,rcp45,2050,5357,-34.3540278,139.6556392,46.86,50.15,43.42
AUS-44,rcp45,2050,5360,-34.4452454,138.9133314,29.2,32.05,26.25
AUS-44,rcp45,2050,5371,-34.4917407,138.7798653,33.45,36.8,30.32
AUS-44,rcp45,2050,5372,-34.4459731,138.8148663,34,37.42,30.75
AUS-44,rcp45,2050,5373,-34.3127562,138.9188181,34,37.42,30.75
AUS-44,rcp45,2050,5374,-34.1546755,139.2220678,42.79,46.19,39.31
AUS-44,rcp45,2050,5381,-33.9148897,139.0965345,40.92,44.85,36.9
AUS-44,rcp45,2050,5400,-34.4507742,138.661458,38.8,42.8,35.25
AUS-44,rcp45,2050,5401,-34.2635992,138.6409761,38.8,42.8,35.25
AUS-44,rcp45,2050,5410,-34.3452817,138.7446957,38.8,42.8,35.25
AUS-44,rcp45,2050,5411,-34.2557236,138.7672774,38.8,42.8,35.25
AUS-44,rcp45,2050,5412,-34.1556177,138.7340146,34.15,37.52,30.8
AUS-44,rcp45,2050,5413,-34.0379824,138.8805744,34.61,37.99,31.19
AUS-44,rcp45,2050,5414,-33.9900127,138.8047036,29.51,32.25,26.35
AUS-44,rcp45,2050,5415,-33.9122781,138.7562951,29.51,32.25,26.35
AUS-44,rcp45,2050,5416,-33.8159238,138.8070271,35.22,38.55,31.63
AUS-44,rcp45,2050,5417,-33.4772373,140.1182103,49.88,53.62,46.04
AUS-44,rcp45,2050,5418,-33.4329443,139.1516193,42.65,46.65,38.3
AUS-44,rcp45,2050,5419,-33.3189516,139.0505664,42.25,46.32,38.05
AUS-44,rcp45,2050,5420,-33.2172231,138.840053,38.58,43,34.48
AUS-44,rcp45,2050,5421,-33.1438339,139.0143234,41.85,46,37.8
AUS-44,rcp45,2050,5422,-32.8710513,138.9866666,47.87,52.06,43.7
AUS-44,rcp45,2050,5431,-32.6482316,138.5661594,47.56,51.93,43.45
AUS-44,rcp45,2050,5432,-31.8587905,139.13115,66.24,71.02,62
AUS-44,rcp45,2050,5433,-32.3001746,138.1352362,64.74,70.01,59.84
AUS-44,rcp45,2050,5434,-31.5518263,138.642958,73.06,78.65,68.15
AUS-44,rcp45,2050,5440,-31.4584959,140.2483686,77.59,82.7,72.96
AUS-44,rcp45,2050,5451,-34.0368947,138.6797544,34.15,37.52,30.8
AUS-44,rcp45,2050,5452,-33.969214,138.6494288,29.51,32.25,26.35
AUS-44,rcp45,2050,5453,-33.8834,138.5920031,29.51,32.25,26.35
AUS-44,rcp45,2050,5454,-33.4825507,138.6286528,32.97,36.38,29.43
AUS-44,rcp45,2050,5455,-33.6973161,138.6527827,29.51,32.25,26.35
AUS-44,rcp45,2050,5460,-34.2924912,138.5117642,38.8,42.8,35.25
AUS-44,rcp45,2050,5461,-34.0620391,138.4023352,35.72,39.38,32.43
AUS-44,rcp45,2050,5462,-33.8425526,138.4608777,34.18,37.67,31.03
AUS-44,rcp45,2050,5464,-33.6839409,138.3883117,38.85,42.86,35.15
AUS-44,rcp45,2050,5470,-33.5678665,138.476284,43.52,48.05,39.27
AUS-44,rcp45,2050,5471,-33.4670771,138.4680484,43.52,48.05,39.27
AUS-44,rcp45,2050,5472,-33.3745482,138.4120933,43.52,48.05,39.27
AUS-44,rcp45,2050,5473,-33.2675291,138.3700995,43.52,48.05,39.27
AUS-44,rcp45,2050,5480,-33.1071176,138.3372857,45.38,49.65,41.35
AUS-44,rcp45,2050,5481,-33.0084711,138.2230039,40.12,43.7,36.65
AUS-44,rcp45,2050,5482,-32.8657906,138.348977,47.59,51.77,43.68
AUS-44,rcp45,2050,5483,-32.8115278,138.1923512,47.59,51.77,43.68
AUS-44,rcp45,2050,5485,-32.6373031,138.1276919,47.59,51.77,43.68
AUS-44,rcp45,2050,5490,-33.164913,138.451921,41.98,46.32,37.91
AUS-44,rcp45,2050,5491,-33.1995293,138.6060038,39.1,43.23,35.2
AUS-44,rcp45,2050,5493,-33.0277526,138.7449043,40.74,45.5,36.45
AUS-44,rcp45,2050,5495,-32.8682888,138.0093168,51.02,55.34,46.86
AUS-44,rcp45,2050,5501,-34.4660136,138.3904701,35.58,39.17,32.35
AUS-44,rcp45,2050,5502,-34.4697101,138.5297368,35.58,39.17,32.35
AUS-44,rcp45,2050,5510,-33.9193189,138.1388278,38.86,43.1,35.7
AUS-44,rcp45,2050,5520,-33.7776772,138.1513247,38.86,43.1,35.7
AUS-44,rcp45,2050,5521,-33.5278462,138.2012242,50.62,55.6,46.05
AUS-44,rcp45,2050,5522,-33.6472035,137.9235151,44.74,49.35,40.88
AUS-44,rcp45,2050,5523,-33.3804001,138.1399627,45.38,49.65,41.35
